date,temp_min,temp_max,temp_observ,precip,wind,wt_fog,wt_thunder,wt_rain,wt_snow,casual,registered,total_cust,holiday
1/1/2011,-1.566666667,11.97333333,2.772727273,0.069333333,2.575,1,0,1,0,330,629,959,0
1/2/2011,0.88,13.80666667,7.327272727,1.037349398,3.925,1,0,1,0,130,651,781,0
1/3/2011,-3.442857143,7.464285714,-3.06,1.878823529,3.625,0,0,0,0,120,1181,1301,0
1/4/2011,-5.957142857,4.642857143,-3.1,0,1.8,0,0,0,0,107,1429,1536,0
1/5/2011,-4.293333333,6.113333333,-1.772727273,0,2.95,0,0,0,0,82,1489,1571,0
1/6/2011,-4.993333333,4.233333333,-4.245454545,0,1.6,0,0,0,1,88,1485,1573,0
1/7/2011,-3.885714286,2.857142857,-1.57,0.101204819,2.55,1,0,0,1,148,1345,1493,0
1/8/2011,-3.98,0.486666667,-2.472727273,0.285057471,4.575,1,0,0,1,68,871,939,0
1/9/2011,-6.293333333,0.226666667,-6.072727273,0.283529412,6.425,0,0,0,0,54,748,802,0
1/10/2011,-6.238461538,0.507692308,-5.177777778,0,2.975,0,0,0,0,41,1257,1298,0
1/11/2011,-5.914285714,0.564285714,-3.1,0.460240964,1.35,1,0,1,1,43,1188,1231,0
1/12/2011,-5.114285714,0.192857143,-3.38,3.52688172,5.675,1,0,0,0,25,1116,1141,0
1/13/2011,-4.6,1.035714286,-4.16,0,5.025,0,0,0,0,37,1346,1383,0
1/14/2011,-7.342857143,1.161538462,-5.83,0.003797468,2.125,1,0,0,1,54,1330,1384,0
1/15/2011,-5.66,2.78,-3.945454545,0,2.2,1,0,0,0,222,1018,1240,0
1/16/2011,-4.08,5.626666667,0.409090909,0,3.3,0,0,0,0,251,937,1188,0
1/17/2011,-3.371428571,2.185714286,-2.12,0.420512821,3.1,1,0,1,1,117,876,993,1
1/18/2011,-3.242857143,0.485714286,-1.77,10.54157303,3.25,1,0,1,0,9,663,672,0
1/19/2011,-1.061538462,4.8,1.122222222,0.88452381,3.275,1,0,1,0,78,1553,1631,0
1/20/2011,-1.107142857,8.064285714,-0.44,0.04025974,3.275,0,0,1,1,81,1815,1896,0
1/21/2011,-3.413333333,4.528571429,-1.472727273,0.831818182,6.125,1,0,1,1,73,1449,1522,0
1/22/2011,-10.21333333,-0.513333333,-9.590909091,0,2.375,0,0,0,0,93,876,969,0
1/23/2011,-11,-3.1,-8.072727273,0,3.625,0,0,0,1,150,827,977,0
1/24/2011,-12.54666667,-1.7,-11.87272727,0,2.55,0,0,0,0,86,1319,1405,0
1/25/2011,-9.406666667,1.366666667,-2.081818182,0,1.575,0,0,0,0,186,1785,1971,0
1/26/2011,-1.785714286,5.485714286,0.5,9.01625,5.075,1,1,0,1,34,466,500,0
1/27/2011,-1.78,1.706666667,-1.318181818,29.52911392,3.2,1,1,0,1,15,409,424,0
1/28/2011,-2.806666667,1.86,-1.863636364,0.134177215,1.675,1,0,0,1,38,1113,1151,0
1/29/2011,-5.235714286,1.785714286,-4.22,1.44,1.875,1,0,0,1,123,947,1070,0
1/30/2011,-6.342857143,3.664285714,-4.6,0,1.2,1,0,0,0,140,944,1084,0
1/31/2011,-4.907142857,4.185714286,-2.94,0,2.675,0,0,1,1,42,1376,1418,0
2/1/2011,-3.086666667,0.073333333,-3.081818182,0.497468354,1.2,1,0,1,0,47,1284,1331,0
2/2/2011,-1.673333333,4.853333333,0.718181818,18.68068182,4.65,1,0,1,0,72,1430,1502,0
2/3/2011,-3.48,6.34,-2.472727273,0.384810127,4.2,1,0,0,0,61,1473,1534,0
2/4/2011,-5.22,3.12,-3.281818182,0,1.875,0,0,0,0,88,1603,1691,0
2/5/2011,-2.3,4.693333333,0.972727273,1.992307692,2.4,1,0,1,0,100,892,992,0
2/6/2011,-0.133333333,6.26,1.927272727,2.756,2.725,1,0,0,0,354,1249,1603,0
2/7/2011,-3.02,8.146666667,-1.72,0,0.975,1,0,1,0,119,1568,1687,0
2/8/2011,-3.513333333,7.326666667,1.209090909,0.209411765,6.525,1,0,1,0,64,1446,1510,0
2/9/2011,-8.166666667,2.233333333,-6.1,0.003797468,2.975,1,0,0,1,52,1540,1592,0
2/10/2011,-7.06,0.46,-5.209090909,0.531111111,3.65,1,0,0,1,46,1474,1520,0
2/11/2011,-9.446666667,2.606666667,-7.790909091,0.124390244,1.425,1,0,0,0,148,1576,1724,0
2/12/2011,-7.853333333,6.786666667,-3.227272727,0,3.55,1,0,0,0,288,1167,1455,0
2/13/2011,-3.586666667,9.113333333,2.481818182,0,3.825,0,0,0,0,396,1162,1558,0
2/14/2011,2.306666667,14.91333333,7.872727273,0,7.5,0,0,0,0,207,1685,1892,0
2/15/2011,-1.333333333,14.59333333,-0.409090909,0,4.425,0,0,0,0,139,1641,1780,0
2/16/2011,-3.053333333,9.88,1.072727273,0,3.475,0,0,0,0,218,1861,2079,0
2/17/2011,1.486666667,16.80666667,6.818181818,0,3.4,0,0,0,0,258,2185,2443,0
2/18/2011,6.86,22.48,12.89090909,0,5,1,0,0,0,578,2314,2892,0
